Feature,Importance
close,0.6697818
prev_close,0.31463698
prev_volume,0.0072136563
volume_change,0.0015287804
daily_range_pct,0.0013603361
month_cos,0.0007070343
ma20_gt_ma50,0.00068803556
relative_volume,0.00061308645
bb_width,0.0004430754
prev_return,0.00033286522
month_sin,0.00032942503
dist_from_ma20,0.00030339407
momentum_10d,0.00026572027
momentum_3d,0.00019396395
return,0.00017619097
dist_from_ma50,0.00017268352
rsi_14,0.0001681679
bb_position,0.00015701322
momentum_5d,0.0001506183
ma5_gt_ma20,0.0001475295
dist_from_ma5,0.00014358216
price_position,0.00013460455
day_of_week_sin,0.0001324514
price_change_pct,0.000110858884
day_of_week_cos,0.000108173524
