Feature,Importance
prev_close,0.52270555
close,0.40321246
prev_volume,0.028142583
prev_return,0.006460908
daily_range_pct,0.005961344
ma20_gt_ma50,0.0036371332
dist_from_ma50,0.003132436
month_sin,0.0031186317
bb_width,0.0030104225
volume_change,0.002791371
relative_volume,0.0026117316
month_cos,0.00247614
day_of_week_cos,0.0024171732
momentum_10d,0.0013943873
price_position,0.0013100767
bb_position,0.0012581181
dist_from_ma20,0.0011689545
dist_from_ma5,0.0009678485
ma5_gt_ma20,0.0009421137
momentum_3d,0.00074099447
rsi_14,0.00069170736
return,0.00060252217
momentum_5d,0.00054384733
price_change_pct,0.00049391383
day_of_week_sin,0.00020765742
