Feature,Importance
prev_close,0.5788959
close,0.40503958
prev_volume,0.0028753101
ma20_gt_ma50,0.002004388
month_cos,0.0014155983
ma5_gt_ma20,0.0010103077
month_sin,0.001005165
bb_width,0.0009218617
volume_change,0.00072003464
dist_from_ma20,0.0005444853
prev_return,0.00052799867
daily_range_pct,0.0004715759
rsi_14,0.00042381574
dist_from_ma5,0.0004218035
momentum_5d,0.00041101646
bb_position,0.00041021462
dist_from_ma50,0.0004048133
momentum_10d,0.00039392489
price_position,0.0003631054
relative_volume,0.00033873506
momentum_3d,0.00033642614
day_of_week_sin,0.00031943482
return,0.0002707142
day_of_week_cos,0.00025562316
price_change_pct,0.00021813485
