Feature,Importance
close,0.51560265
prev_close,0.39725104
prev_volume,0.016012557
volume_change,0.007425363
ma5_gt_ma20,0.0071033067
month_cos,0.0069383276
ma20_gt_ma50,0.006399815
month_sin,0.0053162673
dist_from_ma50,0.004778543
bb_width,0.004277946
price_position,0.0039263177
relative_volume,0.0035696106
day_of_week_sin,0.0031836233
dist_from_ma20,0.0029269778
bb_position,0.00262154
rsi_14,0.001992871
momentum_3d,0.0017073129
momentum_5d,0.0015037535
daily_range_pct,0.0013122502
momentum_10d,0.001288568
price_change_pct,0.0011432171
prev_return,0.0010830607
return,0.0010285993
day_of_week_cos,0.00083733915
dist_from_ma5,0.0007691117
