Feature,Importance
close,0.51902074
prev_close,0.45201534
prev_volume,0.0062316316
ma20_gt_ma50,0.00474625
month_cos,0.002489244
month_sin,0.0017967579
bb_width,0.0016872268
volume_change,0.0016635555
dist_from_ma20,0.0013388983
momentum_5d,0.0011817805
rsi_14,0.00087561226
dist_from_ma50,0.0007661264
prev_return,0.0006023028
bb_position,0.0005998506
momentum_10d,0.0005731847
ma5_gt_ma20,0.0005626172
daily_range_pct,0.00051345857
dist_from_ma5,0.00049589964
momentum_3d,0.00048804595
price_position,0.00046733773
relative_volume,0.0004577908
day_of_week_sin,0.0004189338
return,0.00041011794
price_change_pct,0.00033394943
day_of_week_cos,0.00026334095
