Feature,Importance
close,0.6197055
prev_close,0.36174688
ma20_gt_ma50,0.002519084
ma5_gt_ma20,0.002339092
month_cos,0.0018171581
bb_width,0.0017310246
prev_volume,0.0013895436
month_sin,0.0010299642
daily_range_pct,0.0009987545
volume_change,0.0006396057
dist_from_ma20,0.0006087299
relative_volume,0.0005944173
day_of_week_cos,0.00049525773
dist_from_ma50,0.0004661654
return,0.00043123617
momentum_5d,0.00042822142
bb_position,0.00041321106
momentum_3d,0.00040357525
prev_return,0.00038912924
momentum_10d,0.00037892757
dist_from_ma5,0.00035802502
rsi_14,0.00034550088
price_position,0.0003026053
price_change_pct,0.00024799077
day_of_week_sin,0.00022044872
