Feature,Importance
close,0.53669965
prev_close,0.39257511
prev_volume,0.0067559252
month_cos,0.006365944
daily_range_pct,0.0061016334
ma5_gt_ma20,0.005817276
ma20_gt_ma50,0.005714105
bb_width,0.005203254
month_sin,0.0048937625
dist_from_ma50,0.004415005
dist_from_ma20,0.0033273902
rsi_14,0.0029389097
prev_return,0.0025568325
relative_volume,0.002024472
momentum_10d,0.001965405
momentum_5d,0.001841535
bb_position,0.0018244722
volume_change,0.0016515377
momentum_3d,0.0015438441
dist_from_ma5,0.001313799
return,0.001226985
price_position,0.0012064034
price_change_pct,0.0007803544
day_of_week_sin,0.00066867564
day_of_week_cos,0.00058769976
