Feature,Importance
close,0.611542
prev_close,0.36373135
prev_volume,0.0023907672
bb_width,0.002304307
month_cos,0.0020151685
month_sin,0.0018137482
ma5_gt_ma20,0.0017170092
daily_range_pct,0.0016824678
ma20_gt_ma50,0.0014484759
relative_volume,0.0013832541
momentum_3d,0.0011290754
prev_return,0.0010088489
volume_change,0.00093949406
dist_from_ma50,0.0008518706
dist_from_ma20,0.0008245346
momentum_5d,0.00073116546
rsi_14,0.00068186485
momentum_10d,0.00067132345
bb_position,0.00066187175
price_position,0.0005968436
return,0.0005210572
dist_from_ma5,0.00043523245
price_change_pct,0.0004051919
day_of_week_sin,0.00027095707
day_of_week_cos,0.00024204035
