Feature,Importance
close,0.6419287
prev_close,0.33899847
month_sin,0.0029254863
month_cos,0.0014953081
bb_width,0.0014427637
prev_volume,0.0011877706
dist_from_ma20,0.0011352692
ma20_gt_ma50,0.0010874196
ma5_gt_ma20,0.00071945565
return,0.00070266414
relative_volume,0.00069330394
momentum_3d,0.00062792236
momentum_10d,0.0006223358
bb_position,0.0005995279
daily_range_pct,0.00058883993
dist_from_ma50,0.00058569096
rsi_14,0.0005740905
price_position,0.0005643131
prev_return,0.0005615129
dist_from_ma5,0.00055177603
volume_change,0.0005370735
day_of_week_cos,0.00048712804
momentum_5d,0.00048426862
day_of_week_sin,0.00047954105
price_change_pct,0.0004193797
