Feature,Importance
close,0.4802404
prev_close,0.4486926
month_sin,0.013197077
bb_width,0.0064563635
ma20_gt_ma50,0.0064070285
dist_from_ma50,0.004853601
dist_from_ma20,0.0043112785
month_cos,0.004109467
prev_volume,0.0035602953
bb_position,0.0034656776
daily_range_pct,0.0029221552
momentum_5d,0.0029066505
relative_volume,0.0019708886
momentum_10d,0.0019557127
rsi_14,0.0019402286
ma5_gt_ma20,0.0019090562
momentum_3d,0.0016206574
return,0.0015438987
dist_from_ma5,0.0014878238
price_change_pct,0.0013799142
price_position,0.0011582053
prev_return,0.0011142939
volume_change,0.0010187045
day_of_week_cos,0.00090824737
day_of_week_sin,0.0008697033
