Feature,Importance
close,0.6571812
prev_close,0.31264824
month_sin,0.005559594
ma20_gt_ma50,0.0025456739
bb_width,0.0024068665
prev_volume,0.00217012
month_cos,0.0020508985
dist_from_ma20,0.0020299358
momentum_10d,0.0011443454
dist_from_ma50,0.0011333666
relative_volume,0.0010627477
bb_position,0.00095031265
return,0.0009252348
ma5_gt_ma20,0.0009182814
rsi_14,0.00086130295
momentum_5d,0.00084575196
momentum_3d,0.00081661536
daily_range_pct,0.0007937285
dist_from_ma5,0.00076512824
prev_return,0.00071138557
volume_change,0.0006624035
price_position,0.000555614
price_change_pct,0.00052906276
day_of_week_sin,0.0003904991
day_of_week_cos,0.00034167076
