Feature,Importance
close,0.49117845
prev_close,0.40202072
dist_from_ma20,0.014091154
month_sin,0.01164052
bb_width,0.009248344
momentum_10d,0.0075212675
dist_from_ma50,0.0075082
momentum_5d,0.006211148
month_cos,0.0055323783
prev_volume,0.005416613
rsi_14,0.0053939545
dist_from_ma5,0.0053235753
daily_range_pct,0.0045692753
relative_volume,0.004240003
bb_position,0.0039715096
ma5_gt_ma20,0.002444466
ma20_gt_ma50,0.002233142
price_position,0.0019164326
momentum_3d,0.0019027101
prev_return,0.0016244209
price_change_pct,0.0013853774
volume_change,0.0012995041
return,0.0012993147
day_of_week_sin,0.0011868256
day_of_week_cos,0.00084070646
