Feature,Importance
close,0.567809
prev_close,0.39626002
dist_from_ma50,0.0035981284
month_sin,0.0031666092
bb_width,0.0030303916
ma5_gt_ma20,0.0027670534
dist_from_ma20,0.002553515
month_cos,0.002466099
ma20_gt_ma50,0.0024071326
prev_volume,0.0018915546
momentum_10d,0.0016391005
daily_range_pct,0.0015339985
dist_from_ma5,0.0013441719
relative_volume,0.0012350534
momentum_5d,0.0010988372
rsi_14,0.0010269468
momentum_3d,0.000988743
volume_change,0.0009876032
bb_position,0.00093977444
price_position,0.00076896825
return,0.0006583963
prev_return,0.00053625274
price_change_pct,0.0004856284
day_of_week_cos,0.00046997258
day_of_week_sin,0.0003372234
