Feature,Importance
close,0.60686123
prev_close,0.3623611
ma20_gt_ma50,0.004868624
month_sin,0.004836522
month_cos,0.002804536
ma5_gt_ma20,0.0024074505
bb_width,0.002250902
daily_range_pct,0.001174978
dist_from_ma20,0.0010320286
relative_volume,0.0009327726
return,0.00088037737
prev_volume,0.0008734222
dist_from_ma50,0.00083283643
rsi_14,0.0007792878
prev_return,0.00076003856
volume_change,0.0007302286
momentum_10d,0.0007225018
momentum_3d,0.0006970426
momentum_5d,0.000695422
dist_from_ma5,0.00068617566
bb_position,0.0006772634
price_position,0.0006427489
day_of_week_cos,0.00055369217
price_change_pct,0.00051341625
day_of_week_sin,0.0004253897
