Feature,Importance
close,0.49269813
prev_close,0.39624405
month_cos,0.018568834
ma20_gt_ma50,0.014677823
month_sin,0.0091698095
dist_from_ma50,0.007878965
bb_width,0.0071836878
dist_from_ma20,0.0060682516
bb_position,0.004065782
rsi_14,0.003918846
daily_range_pct,0.0037167182
momentum_5d,0.0033600095
ma5_gt_ma20,0.003314348
momentum_10d,0.0032601408
prev_volume,0.0031718428
relative_volume,0.003120598
return,0.0028016872
momentum_3d,0.002517107
dist_from_ma5,0.00249492
day_of_week_sin,0.0023186414
price_position,0.0022086962
prev_return,0.0021751719
volume_change,0.0020081277
price_change_pct,0.0019744078
day_of_week_cos,0.001083322
