Feature,Importance
close,0.6000695
prev_close,0.35593626
ma20_gt_ma50,0.0069695376
month_sin,0.0055631245
month_cos,0.0053987
bb_width,0.0034623365
daily_range_pct,0.002302811
dist_from_ma20,0.0018608838
ma5_gt_ma20,0.0018591079
dist_from_ma50,0.0016600752
prev_volume,0.0015228054
momentum_10d,0.0013505988
relative_volume,0.0013001971
volume_change,0.0012069915
bb_position,0.0011971444
momentum_3d,0.0011314879
return,0.0011231572
rsi_14,0.0011103664
momentum_5d,0.0010214665
dist_from_ma5,0.00092217734
prev_return,0.0008014046
price_change_pct,0.00072705565
price_position,0.00061336404
day_of_week_cos,0.00048211
day_of_week_sin,0.0004073488
