Feature,Importance
close,0.5869118
prev_close,0.39308202
month_cos,0.004426503
ma20_gt_ma50,0.0030574447
prev_volume,0.002613977
bb_width,0.0017903901
month_sin,0.0010065378
volume_change,0.0006910668
daily_range_pct,0.0006550752
relative_volume,0.0005911645
ma5_gt_ma20,0.0004863937
momentum_10d,0.0004700943
day_of_week_cos,0.0004333017
momentum_5d,0.00042639725
dist_from_ma20,0.0003803905
price_position,0.0003789992
momentum_3d,0.00037820803
prev_return,0.00034034447
dist_from_ma5,0.0003265662
bb_position,0.0003041811
dist_from_ma50,0.00030097502
rsi_14,0.00029102608
return,0.00026773155
day_of_week_sin,0.00019653953
price_change_pct,0.00019283996
