Feature,Importance
prev_close,0.4687976
close,0.45155516
month_cos,0.015720233
prev_volume,0.012484879
bb_width,0.0060155154
prev_return,0.005807152
daily_range_pct,0.0052350583
month_sin,0.004680329
ma20_gt_ma50,0.0036644123
day_of_week_cos,0.0033753738
dist_from_ma5,0.003196687
dist_from_ma50,0.0030759396
volume_change,0.0028394775
relative_volume,0.0022685933
momentum_5d,0.0014368373
price_position,0.0014335965
bb_position,0.0013288496
dist_from_ma20,0.0013164048
momentum_10d,0.0012858673
momentum_3d,0.001208829
rsi_14,0.00089286244
return,0.0007328489
ma5_gt_ma20,0.0007322369
price_change_pct,0.00063601014
day_of_week_sin,0.0002792569
