Feature,Importance
close,0.644435
prev_close,0.33859447
ma20_gt_ma50,0.0030979381
prev_volume,0.002285954
month_sin,0.0017502535
bb_width,0.0013098272
dist_from_ma20,0.0008034456
relative_volume,0.00079979363
volume_change,0.00062748115
month_cos,0.0005734976
momentum_5d,0.00053344225
daily_range_pct,0.0005236975
return,0.00045656713
momentum_10d,0.0004544899
momentum_3d,0.00044243992
prev_return,0.00041863104
dist_from_ma5,0.000384597
bb_position,0.0003653654
dist_from_ma50,0.0003547913
price_position,0.000353808
rsi_14,0.00034281332
day_of_week_sin,0.0003277287
day_of_week_cos,0.00029270028
price_change_pct,0.0002803238
ma5_gt_ma20,0.00019091286
