Feature,Importance
prev_close,0.5103682
close,0.4281279
prev_volume,0.0097282445
dist_from_ma50,0.0055827396
bb_width,0.0055463
month_cos,0.0052011963
month_sin,0.0047070854
ma20_gt_ma50,0.0027715366
relative_volume,0.0025408147
daily_range_pct,0.0024161292
dist_from_ma20,0.0023977098
prev_return,0.0020473672
momentum_5d,0.0020007393
ma5_gt_ma20,0.0019397222
volume_change,0.0019066313
momentum_10d,0.0018893328
bb_position,0.0018165641
rsi_14,0.0018111434
return,0.0015049778
price_position,0.0013066486
momentum_3d,0.0012725987
dist_from_ma5,0.0012634038
price_change_pct,0.0008592763
day_of_week_sin,0.0005334992
day_of_week_cos,0.00046020077
