Feature,Importance
prev_close,0.71977454
close,0.25898013
prev_volume,0.0032770815
ma20_gt_ma50,0.0018114776
month_sin,0.0017519984
bb_width,0.0016836748
month_cos,0.0014214405
dist_from_ma20,0.0013321376
volume_change,0.0010538324
relative_volume,0.0010388999
momentum_5d,0.00097383955
daily_range_pct,0.0008393341
ma5_gt_ma20,0.0006938445
prev_return,0.0006651206
momentum_10d,0.00065826584
dist_from_ma50,0.00062831957
bb_position,0.00051679346
rsi_14,0.0004860854
momentum_3d,0.0004703436
return,0.00043851387
price_position,0.00039265328
dist_from_ma5,0.0003480176
price_change_pct,0.00029083423
day_of_week_cos,0.00026625165
day_of_week_sin,0.00020674258
