Feature,Importance
close,0.5915501
prev_close,0.3608389
ma20_gt_ma50,0.018755805
month_cos,0.0039712833
month_sin,0.0032160624
dist_from_ma20,0.0022606067
bb_width,0.0019253998
ma5_gt_ma20,0.001559087
momentum_10d,0.001494535
relative_volume,0.0013729507
return,0.0011822211
prev_volume,0.0010994641
bb_position,0.0009998808
volume_change,0.0009841573
momentum_3d,0.00091898604
prev_return,0.00089852687
day_of_week_cos,0.0008914774
momentum_5d,0.0008875558
dist_from_ma5,0.00087649724
dist_from_ma50,0.0008407131
rsi_14,0.0008148079
price_position,0.00080209377
daily_range_pct,0.0007368192
price_change_pct,0.0006257715
day_of_week_sin,0.0004963571
