Feature,Importance
close,0.46735084
prev_close,0.39490315
month_sin,0.015894921
ma20_gt_ma50,0.015379453
month_cos,0.011786751
dist_from_ma50,0.010903137
bb_width,0.009375215
dist_from_ma20,0.008458353
ma5_gt_ma20,0.008355674
bb_position,0.005806706
momentum_10d,0.0051306034
daily_range_pct,0.0049313568
dist_from_ma5,0.0047714817
rsi_14,0.0043564267
momentum_3d,0.0042068935
relative_volume,0.0040005012
momentum_5d,0.0037718045
prev_return,0.0036676144
prev_volume,0.0032420254
return,0.0030515017
price_position,0.0028985445
price_change_pct,0.0027601128
volume_change,0.0018800567
day_of_week_sin,0.0016647401
day_of_week_cos,0.0014521364
