Feature,Importance
close,0.5506282
prev_close,0.38504076
ma20_gt_ma50,0.022788435
month_sin,0.00540668
month_cos,0.004030048
dist_from_ma20,0.003008913
bb_width,0.00283703
relative_volume,0.0025866893
momentum_10d,0.0024665706
prev_volume,0.0019683908
dist_from_ma50,0.0019396173
rsi_14,0.0016326996
momentum_5d,0.0015981754
return,0.0015943514
bb_position,0.0015257825
dist_from_ma5,0.0014284768
momentum_3d,0.0013328867
prev_return,0.0013023041
volume_change,0.0012791356
daily_range_pct,0.0012649623
price_position,0.0010372066
price_change_pct,0.00087800086
ma5_gt_ma20,0.0008575186
day_of_week_cos,0.0008573554
day_of_week_sin,0.00070981024
