Feature,Importance
close,0.6387191
prev_close,0.32445806
ma20_gt_ma50,0.0056306873
month_sin,0.0035080637
bb_width,0.002686777
month_cos,0.00205462
dist_from_ma20,0.0019544195
return,0.0019045747
volume_change,0.0017089802
day_of_week_cos,0.0015042643
momentum_5d,0.0014266782
relative_volume,0.0013749093
prev_volume,0.0012117751
momentum_10d,0.0011854582
price_change_pct,0.0011736173
daily_range_pct,0.0011729427
momentum_3d,0.0010878647
bb_position,0.0010501926
prev_return,0.0010158578
rsi_14,0.0009893187
dist_from_ma5,0.0009173246
day_of_week_sin,0.0008612207
dist_from_ma50,0.0008496869
price_position,0.00084319816
ma5_gt_ma20,0.0007104548
