Feature,Importance
close,0.49058777
prev_close,0.3890896
month_sin,0.011450506
month_cos,0.010603255
dist_from_ma50,0.009774066
bb_width,0.009489411
ma20_gt_ma50,0.007923228
dist_from_ma20,0.0069589433
rsi_14,0.0065800743
daily_range_pct,0.006321537
prev_volume,0.0055168425
momentum_5d,0.005402404
bb_position,0.004718433
momentum_10d,0.004270006
ma5_gt_ma20,0.004183598
relative_volume,0.00405797
momentum_3d,0.0035118586
dist_from_ma5,0.0034012222
return,0.0031277125
price_change_pct,0.0028965492
prev_return,0.002729263
price_position,0.0027223257
volume_change,0.0022552903
day_of_week_sin,0.0014108141
day_of_week_cos,0.001017216
