Feature,Importance
close,0.6094528
prev_close,0.33259597
ma20_gt_ma50,0.010483912
month_sin,0.0046720346
bb_width,0.0041569327
month_cos,0.0037571415
dist_from_ma20,0.0035267835
prev_volume,0.002722564
momentum_10d,0.0023912252
relative_volume,0.0021891545
momentum_5d,0.0021643657
dist_from_ma50,0.0021365143
daily_range_pct,0.0021243494
bb_position,0.0020643992
return,0.002050547
rsi_14,0.001749646
volume_change,0.0017137856
ma5_gt_ma20,0.0015884147
prev_return,0.0015536544
momentum_3d,0.0014560195
dist_from_ma5,0.0013633104
price_position,0.0010538828
day_of_week_sin,0.001029921
price_change_pct,0.0010284379
day_of_week_cos,0.0009742429
