Feature,Importance
close,0.59179616
prev_close,0.35901582
month_sin,0.025476826
ma20_gt_ma50,0.008377365
prev_volume,0.0020309663
ma5_gt_ma20,0.0015461355
bb_width,0.0014941664
month_cos,0.0011734768
volume_change,0.0011622844
daily_range_pct,0.0008722888
prev_return,0.00065248
momentum_5d,0.00061253237
return,0.00057657383
rsi_14,0.00056815543
momentum_10d,0.0005578882
relative_volume,0.0005536087
dist_from_ma20,0.0005016245
bb_position,0.0004664015
dist_from_ma50,0.0004522141
momentum_3d,0.00044654097
dist_from_ma5,0.00042025046
price_position,0.00040791047
day_of_week_sin,0.00030256814
day_of_week_cos,0.00028768435
price_change_pct,0.00024801976
