Feature,Importance
close,0.45462015
prev_close,0.45186883
month_sin,0.012955385
prev_volume,0.009731938
ma20_gt_ma50,0.009550339
dist_from_ma50,0.008697774
bb_width,0.00612317
daily_range_pct,0.005993026
dist_from_ma5,0.004307228
dist_from_ma20,0.0041201487
month_cos,0.0036528588
rsi_14,0.0033244165
momentum_5d,0.0032510152
momentum_3d,0.003220335
bb_position,0.003125491
volume_change,0.0024063266
price_position,0.0023087545
prev_return,0.0022602335
momentum_10d,0.0017140259
ma5_gt_ma20,0.0016813576
return,0.0015332309
relative_volume,0.0013807028
price_change_pct,0.0011845895
day_of_week_cos,0.00052361336
day_of_week_sin,0.00046508422
