Feature,Importance
close,0.5951367
prev_close,0.36438847
month_sin,0.007883507
ma20_gt_ma50,0.0078088343
prev_volume,0.0037297658
bb_width,0.0024031114
ma5_gt_ma20,0.0021063623
volume_change,0.0017914927
daily_range_pct,0.0017031177
month_cos,0.0014169889
prev_return,0.0011785851
rsi_14,0.001163638
momentum_5d,0.0011460442
momentum_10d,0.0010648513
dist_from_ma5,0.0010355564
dist_from_ma50,0.0010238393
dist_from_ma20,0.00093994336
price_position,0.0007637302
bb_position,0.0006586927
return,0.0006112
momentum_3d,0.00051897025
relative_volume,0.0004978153
price_change_pct,0.00041648
day_of_week_sin,0.00030734212
day_of_week_cos,0.00030498722
