Feature,Importance
close,0.6230893
prev_close,0.3666845
month_sin,0.0012305579
bb_width,0.0012044228
dist_from_ma20,0.0008458452
ma20_gt_ma50,0.0008154689
prev_volume,0.00078155444
month_cos,0.0006129121
momentum_5d,0.0005240674
volume_change,0.00050167117
daily_range_pct,0.00047743585
day_of_week_sin,0.0003522554
momentum_3d,0.00034973866
prev_return,0.0003479511
momentum_10d,0.00033183646
relative_volume,0.00031792486
dist_from_ma5,0.00026944082
price_position,0.00019408033
rsi_14,0.00019155181
dist_from_ma50,0.00018830602
return,0.00018466487
bb_position,0.00017181196
price_change_pct,0.00014829062
day_of_week_cos,0.00013686149
ma5_gt_ma20,4.754518e-05
