Feature,Importance
prev_close,0.47695854
close,0.46501902
ma5_gt_ma20,0.0098127015
dist_from_ma20,0.0047839317
prev_volume,0.004573354
bb_width,0.0036780438
dist_from_ma50,0.0036018859
prev_return,0.0032985087
month_cos,0.0032556532
daily_range_pct,0.0031406423
month_sin,0.0029503112
relative_volume,0.0027372038
bb_position,0.0026335642
ma20_gt_ma50,0.002580052
dist_from_ma5,0.001732071
volume_change,0.0014617452
momentum_3d,0.001307221
price_position,0.0012442863
rsi_14,0.0010828146
momentum_5d,0.0010703653
momentum_10d,0.0009927396
return,0.0009735504
day_of_week_cos,0.0005127796
price_change_pct,0.00036241894
day_of_week_sin,0.000236695
