Feature,Importance
close,0.54073673
prev_close,0.44323954
bb_width,0.0019270139
prev_volume,0.001689358
dist_from_ma20,0.0014480446
month_sin,0.0014031925
ma20_gt_ma50,0.0012974557
volume_change,0.001218591
daily_range_pct,0.0010969464
month_cos,0.0007315263
day_of_week_sin,0.00071057014
prev_return,0.00060995814
momentum_3d,0.0005454637
relative_volume,0.00053772173
momentum_5d,0.00052524696
dist_from_ma5,0.00041822568
momentum_10d,0.00030944537
price_position,0.00030258743
dist_from_ma50,0.00029611625
rsi_14,0.00022440618
bb_position,0.00020197715
return,0.0001523192
price_change_pct,0.0001338927
day_of_week_cos,0.00012860501
ma5_gt_ma20,0.000115098956
