Feature,Importance
close,0.625045
prev_close,0.34679177
ma20_gt_ma50,0.0074904007
prev_volume,0.0055717058
month_cos,0.0019804884
volume_change,0.0017716704
bb_width,0.0012460933
daily_range_pct,0.0010533559
relative_volume,0.00086330256
month_sin,0.0007773882
momentum_3d,0.00067695946
dist_from_ma50,0.0005721008
prev_return,0.00057010463
dist_from_ma5,0.00055653416
dist_from_ma20,0.00055434165
return,0.0005373707
momentum_5d,0.00053275283
day_of_week_cos,0.00051719305
momentum_10d,0.00049895456
bb_position,0.00049749546
price_position,0.00046535284
day_of_week_sin,0.0004330576
rsi_14,0.000403654
ma5_gt_ma20,0.00033145564
price_change_pct,0.00026154998
