Feature,Importance
close,0.5088712
prev_close,0.39490622
prev_volume,0.022889886
ma20_gt_ma50,0.00736843
month_cos,0.0062893135
dist_from_ma50,0.0060568973
month_sin,0.0056338576
bb_width,0.004877198
volume_change,0.0042098137
prev_return,0.0039244127
dist_from_ma20,0.0035886369
daily_range_pct,0.0034680027
momentum_10d,0.003375085
momentum_5d,0.0030993544
rsi_14,0.0029837184
bb_position,0.002893638
relative_volume,0.0026019025
dist_from_ma5,0.0025973094
ma5_gt_ma20,0.0025019932
momentum_3d,0.002096956
day_of_week_cos,0.0015351155
return,0.0013444393
price_change_pct,0.0010790502
price_position,0.0010102909
day_of_week_sin,0.00079725427
