Feature,Importance
close,0.6299006
prev_close,0.33296302
prev_volume,0.00972205
ma20_gt_ma50,0.003136495
volume_change,0.0028870297
bb_width,0.0021344256
month_cos,0.0019431575
month_sin,0.0018420882
dist_from_ma50,0.0015591335
prev_return,0.0014855664
relative_volume,0.0013997854
dist_from_ma20,0.0012251457
daily_range_pct,0.0011369948
momentum_10d,0.0011266678
momentum_5d,0.0010187385
rsi_14,0.000970943
bb_position,0.0009069626
dist_from_ma5,0.00077428814
day_of_week_cos,0.00076278043
momentum_3d,0.0006912146
return,0.00060478534
price_position,0.0005652363
ma5_gt_ma20,0.0004763072
price_change_pct,0.0004005658
day_of_week_sin,0.00036598224
