Feature,Importance
close,0.63037807
prev_close,0.35252577
prev_volume,0.0025931522
ma20_gt_ma50,0.0018987231
bb_width,0.0018637686
month_cos,0.0014883997
volume_change,0.0009577515
month_sin,0.00077241607
daily_range_pct,0.00071327516
relative_volume,0.0006009069
momentum_10d,0.00057998835
momentum_5d,0.0005379775
dist_from_ma20,0.0005147088
dist_from_ma50,0.00050087133
return,0.00049567624
dist_from_ma5,0.00045394473
bb_position,0.00044989146
price_position,0.00040696346
rsi_14,0.0003902535
momentum_3d,0.00038691453
prev_return,0.00037820055
day_of_week_cos,0.0003412317
day_of_week_sin,0.00029861575
price_change_pct,0.00027237908
ma5_gt_ma20,0.00020007885
