Feature,Importance
close,0.50711
prev_close,0.41793764
prev_volume,0.010378968
month_sin,0.008527219
dist_from_ma50,0.006757669
bb_width,0.005845718
month_cos,0.005283252
daily_range_pct,0.0052358587
ma5_gt_ma20,0.0043759723
rsi_14,0.0036368696
dist_from_ma20,0.0033807745
ma20_gt_ma50,0.0033088282
bb_position,0.0020100705
momentum_10d,0.0019112078
prev_return,0.0018981989
volume_change,0.0017398992
momentum_5d,0.0016545162
relative_volume,0.0016228498
momentum_3d,0.0014747052
return,0.0014658129
dist_from_ma5,0.0013207705
price_change_pct,0.0013171416
price_position,0.0007965472
day_of_week_sin,0.0006100428
day_of_week_cos,0.00039948215
