Feature,Importance
close,0.6250729
prev_close,0.34347874
prev_volume,0.004513773
ma20_gt_ma50,0.003688142
bb_width,0.0029261224
ma5_gt_ma20,0.002498905
month_sin,0.002339739
month_cos,0.0020656465
volume_change,0.0015326831
daily_range_pct,0.0014157653
dist_from_ma20,0.0011453371
dist_from_ma50,0.0011252024
momentum_5d,0.0010808139
momentum_10d,0.0010295946
bb_position,0.00078223465
rsi_14,0.00077931676
momentum_3d,0.000674129
relative_volume,0.00062595104
dist_from_ma5,0.00061545416
price_position,0.0005387598
return,0.0005366264
prev_return,0.00046872246
price_change_pct,0.00042895926
day_of_week_sin,0.0003512474
day_of_week_cos,0.00028524024
