Feature,Importance
close,0.5085631
prev_close,0.30148625
month_sin,0.16852963
ma20_gt_ma50,0.009191215
month_cos,0.0023815758
bb_width,0.001543947
dist_from_ma20,0.0012985202
ma5_gt_ma20,0.0011897831
rsi_14,0.0008861356
prev_volume,0.00070825167
daily_range_pct,0.0004749869
volume_change,0.00040132386
relative_volume,0.00036273772
bb_position,0.00033149048
momentum_10d,0.0003018443
momentum_5d,0.00028986824
momentum_3d,0.0002799135
prev_return,0.00026500205
price_position,0.00026115
dist_from_ma50,0.00022588411
price_change_pct,0.00022322613
dist_from_ma5,0.00021921785
return,0.00021479253
day_of_week_sin,0.00020538137
day_of_week_cos,0.00016467001
