Feature,Importance
close,0.4760883
prev_close,0.4518777
month_sin,0.00998765
dist_from_ma50,0.008791614
ma20_gt_ma50,0.008743686
dist_from_ma20,0.0068907207
month_cos,0.0053322082
bb_width,0.005297416
prev_volume,0.0039449064
daily_range_pct,0.0034757024
rsi_14,0.0027790433
dist_from_ma5,0.0025619653
ma5_gt_ma20,0.0019713142
volume_change,0.0018759433
momentum_3d,0.0018226269
momentum_10d,0.0017717682
bb_position,0.0012174132
return,0.0010754993
momentum_5d,0.0008990198
price_position,0.00085577497
relative_volume,0.000836679
prev_return,0.0007593608
day_of_week_sin,0.0006692849
price_change_pct,0.00026497524
day_of_week_cos,0.00020936452
