Feature,Importance
close,0.542649
prev_close,0.43683532
ma20_gt_ma50,0.004929431
month_cos,0.002332555
prev_volume,0.001732412
bb_width,0.0017226017
month_sin,0.0016962256
dist_from_ma50,0.001267574
dist_from_ma20,0.00070898933
volume_change,0.0006308327
momentum_3d,0.0006097482
relative_volume,0.00059929554
dist_from_ma5,0.0005734903
daily_range_pct,0.0005620564
prev_return,0.00043984895
momentum_10d,0.00035547584
bb_position,0.0003170402
price_position,0.0003128212
day_of_week_cos,0.0003043629
momentum_5d,0.00030365228
return,0.00027517244
rsi_14,0.00024196302
price_change_pct,0.00022263081
day_of_week_sin,0.00021055994
ma5_gt_ma20,0.00016698385
