Feature,Importance
close,0.49550122
prev_close,0.42427608
ma20_gt_ma50,0.01296279
month_sin,0.010378752
dist_from_ma50,0.007528954
month_cos,0.0074679637
prev_volume,0.007334555
bb_width,0.005538191
dist_from_ma20,0.004787096
rsi_14,0.003525201
relative_volume,0.0030418981
ma5_gt_ma20,0.0025815992
prev_return,0.0022964817
momentum_10d,0.0020864916
daily_range_pct,0.0016361601
bb_position,0.0015831979
dist_from_ma5,0.0015741022
volume_change,0.0012535321
momentum_5d,0.0011065503
momentum_3d,0.00089221646
price_position,0.00080453034
return,0.0005734011
price_change_pct,0.0005297698
day_of_week_cos,0.00038097933
day_of_week_sin,0.0003581859
