Feature,Importance
close,0.51478535
prev_close,0.45225516
ma20_gt_ma50,0.007168725
month_sin,0.004286713
prev_volume,0.0034381836
month_cos,0.0032890914
bb_width,0.0025272702
dist_from_ma20,0.0016891015
dist_from_ma50,0.0013533464
volume_change,0.0011893689
relative_volume,0.0009862734
dist_from_ma5,0.00094994134
momentum_10d,0.0009154963
momentum_5d,0.0007706383
daily_range_pct,0.000696027
prev_return,0.00062480726
momentum_3d,0.0005575821
bb_position,0.00054141047
rsi_14,0.00042338565
price_position,0.00040276942
return,0.00031363533
ma5_gt_ma20,0.00026586055
price_change_pct,0.00023788819
day_of_week_cos,0.00017560169
day_of_week_sin,0.00015642759
