Feature,Importance
close,0.53960043
prev_close,0.40318644
prev_volume,0.009000949
daily_range_pct,0.0065018856
bb_width,0.005626882
dist_from_ma50,0.0047420114
month_sin,0.0041961907
prev_return,0.0031057831
momentum_5d,0.002921212
dist_from_ma20,0.0026435757
month_cos,0.002620239
dist_from_ma5,0.0017982064
rsi_14,0.0017756056
relative_volume,0.0017666118
momentum_3d,0.001618764
momentum_10d,0.0015043805
volume_change,0.0012896697
ma20_gt_ma50,0.0012742225
price_position,0.0012373371
bb_position,0.0011734191
return,0.0007535856
ma5_gt_ma20,0.00066633394
price_change_pct,0.00051158486
day_of_week_cos,0.00026137667
day_of_week_sin,0.0002233288
