Feature,Importance
close,0.6588208
prev_close,0.32053196
prev_volume,0.004174563
bb_width,0.0024364484
daily_range_pct,0.0015674426
volume_change,0.0015202615
month_sin,0.0014507583
relative_volume,0.0012741584
dist_from_ma20,0.0011833531
month_cos,0.0011550528
prev_return,0.0007880975
dist_from_ma5,0.0005897816
dist_from_ma50,0.0005354351
momentum_5d,0.00051238155
momentum_10d,0.00043348444
rsi_14,0.00041393988
ma20_gt_ma50,0.00039048077
return,0.00038470014
momentum_3d,0.000357231
ma5_gt_ma20,0.00035652192
price_position,0.00032196255
bb_position,0.00028487924
price_change_pct,0.00023387099
day_of_week_sin,0.00014548827
day_of_week_cos,0.00013700499
