Feature,Importance
close,0.668956
prev_close,0.30137885
ma5_gt_ma20,0.0083651375
ma20_gt_ma50,0.0050574713
bb_width,0.001506665
prev_volume,0.0014187862
daily_range_pct,0.0012799919
month_sin,0.0012272389
momentum_5d,0.0011751803
momentum_10d,0.0011419837
volume_change,0.00095178816
rsi_14,0.0008502998
month_cos,0.0008169014
relative_volume,0.000747306
dist_from_ma50,0.00066447223
dist_from_ma20,0.0005972625
prev_return,0.0005881201
dist_from_ma5,0.00053283555
bb_position,0.0004627833
day_of_week_cos,0.00044311123
day_of_week_sin,0.00043369003
momentum_3d,0.0004012182
price_position,0.0003897689
return,0.00035182034
price_change_pct,0.00026145708
