Feature,Importance
prev_close,0.4805144
close,0.43086836
month_sin,0.009670921
ma5_gt_ma20,0.0088272
dist_from_ma50,0.0065064332
month_cos,0.006496502
daily_range_pct,0.006009319
ma20_gt_ma50,0.0058954684
prev_volume,0.0057358956
bb_width,0.0049555716
volume_change,0.0047175847
relative_volume,0.0045302813
bb_position,0.0041197706
rsi_14,0.004054235
prev_return,0.0031364395
dist_from_ma20,0.0030931467
momentum_10d,0.0022291434
momentum_5d,0.0017410899
return,0.0016700815
dist_from_ma5,0.0013442356
price_position,0.0012795773
momentum_3d,0.0009891188
price_change_pct,0.00062246853
day_of_week_cos,0.00051524467
day_of_week_sin,0.00047741248
