Feature,Importance
close,0.60838854
prev_close,0.35120633
ma5_gt_ma20,0.011281227
ma20_gt_ma50,0.004239185
bb_width,0.0024364162
daily_range_pct,0.0023970597
month_cos,0.0022578232
month_sin,0.0018592249
prev_volume,0.0018250797
volume_change,0.0016982167
momentum_10d,0.0016471219
bb_position,0.0015620391
momentum_5d,0.0015564814
relative_volume,0.0012974567
dist_from_ma50,0.0010170265
rsi_14,0.00081133615
dist_from_ma20,0.0007720326
dist_from_ma5,0.0007286057
momentum_3d,0.0006799495
prev_return,0.00053551
price_position,0.00046168917
return,0.00035900064
day_of_week_cos,0.0003540851
price_change_pct,0.00034687846
day_of_week_sin,0.00028169417
