Feature,Importance
close,0.56463826
prev_close,0.36059445
ma20_gt_ma50,0.017220266
return,0.004408152
month_sin,0.003853168
bb_width,0.003683667
month_cos,0.0035109848
dist_from_ma50,0.003227927
prev_volume,0.0029831969
dist_from_ma20,0.0028228285
momentum_5d,0.0027982246
daily_range_pct,0.0027886727
prev_return,0.0025940642
momentum_10d,0.0025260272
relative_volume,0.0025143835
day_of_week_sin,0.002510065
bb_position,0.0022619164
volume_change,0.0022329837
momentum_3d,0.0021884849
dist_from_ma5,0.0021372251
day_of_week_cos,0.0020304972
rsi_14,0.0019712443
price_position,0.0018011617
price_change_pct,0.0015496645
ma5_gt_ma20,0.001152573
