Feature,Importance
close,0.419299
prev_close,0.34466434
month_sin,0.026705699
month_cos,0.023816774
ma20_gt_ma50,0.02201727
dist_from_ma50,0.020691063
bb_width,0.017265731
dist_from_ma20,0.011393684
ma5_gt_ma20,0.0106641585
prev_volume,0.010010416
bb_position,0.0096411295
rsi_14,0.008768479
daily_range_pct,0.008591474
momentum_10d,0.008308087
momentum_3d,0.007013303
dist_from_ma5,0.006365794
price_change_pct,0.006340227
momentum_5d,0.006243672
prev_return,0.006109777
return,0.0060184533
relative_volume,0.0059997467
volume_change,0.0045905486
price_position,0.0035854096
day_of_week_cos,0.0030335723
day_of_week_sin,0.0028621359
