Feature,Importance
close,0.59369826
prev_close,0.28870094
ma20_gt_ma50,0.014468216
month_cos,0.011586834
bb_width,0.010301302
month_sin,0.0074282587
return,0.006156807
dist_from_ma50,0.005175599
momentum_10d,0.005036395
dist_from_ma20,0.0049849995
prev_volume,0.004857053
momentum_5d,0.004853866
daily_range_pct,0.004064957
rsi_14,0.003872421
momentum_3d,0.0038619742
dist_from_ma5,0.0038042876
relative_volume,0.0036267815
ma5_gt_ma20,0.0035810194
prev_return,0.0034805308
bb_position,0.0034745527
volume_change,0.0030574398
price_change_pct,0.0027373952
day_of_week_sin,0.0026154052
day_of_week_cos,0.002395446
price_position,0.0021792622
