Feature,Importance
close,0.49457946
prev_close,0.4892559
ma20_gt_ma50,0.0050845034
month_sin,0.0021197877
bb_width,0.0016652988
prev_volume,0.0014427513
month_cos,0.0009360456
prev_return,0.00042499873
volume_change,0.0004194047
daily_range_pct,0.00040374135
momentum_10d,0.00033917246
return,0.00029888694
momentum_3d,0.0002910846
dist_from_ma20,0.00027700368
relative_volume,0.00026990336
day_of_week_sin,0.00026560348
momentum_5d,0.00026471508
price_position,0.0002582662
dist_from_ma50,0.0002542653
bb_position,0.00023798893
dist_from_ma5,0.00023368737
rsi_14,0.00022819058
price_change_pct,0.00022666343
day_of_week_cos,0.00015016345
ma5_gt_ma20,7.252469e-05
