Feature,Importance
prev_close,0.5213302
close,0.42112407
ma20_gt_ma50,0.007512908
prev_volume,0.0071789366
bb_width,0.0053176633
month_sin,0.004462127
daily_range_pct,0.004195073
month_cos,0.003418122
dist_from_ma50,0.0025410308
volume_change,0.0024584979
relative_volume,0.0021912956
bb_position,0.0021321278
rsi_14,0.002025901
dist_from_ma20,0.0018672979
prev_return,0.0018404403
return,0.0016257142
price_position,0.0012815904
momentum_5d,0.0012089529
momentum_3d,0.0011806497
momentum_10d,0.0011419542
day_of_week_cos,0.0010256222
price_change_pct,0.000960819
day_of_week_sin,0.00088892505
dist_from_ma5,0.0006082448
ma5_gt_ma20,0.00048180885
