Feature,Importance
close,0.61480755
prev_close,0.35686225
ma20_gt_ma50,0.0076072626
prev_volume,0.0034436996
bb_width,0.0028250348
month_sin,0.002772473
month_cos,0.0013387147
daily_range_pct,0.0012356925
day_of_week_cos,0.0010995727
volume_change,0.0009614348
prev_return,0.0008148968
relative_volume,0.00076552725
dist_from_ma20,0.0005596448
price_position,0.0005551272
rsi_14,0.00054690475
dist_from_ma50,0.0005467308
return,0.0005256015
momentum_10d,0.00041385565
momentum_3d,0.0004123879
bb_position,0.0004083091
price_change_pct,0.00040786774
dist_from_ma5,0.00039401214
momentum_5d,0.00038138052
day_of_week_sin,0.00019562742
ma5_gt_ma20,0.00011843992
